Category,TRD_ID,Technical_Requirement_Description,PRD_Relationship,Owner,Comments
BLE,TR-BLE-38,"Product shall support the following BLE commands from Core Server via BLE AP:
- Inventory Sleep
- Reset
- Set Frequency
- Set Platform (Orion or Pegasus)
- Duress Acknowledgement
- LF Calibration
- Clear LBS Status",,,
BLE,TR-BLE-39,"Product shall transmit all BLE advertisement packets on all three BLE advertising channels. 37, 38, 39",,,
BLE,TR-BLE-4,Product shall support BLE TX maximum power level no less than 5dBm in Pegasus.,,,
BLE,TR-BLE-40,"Product shall transmit BLE connectible advertisements according to the following configurable duration determined by ""Duress TimeOut"" when in forced BLE mode:

Duress TimeOut: 30s, 60s, 90s, and 120s",,,
BLE,TR-BLE-41,"Product shall transmit BLE connectible advertisements according to the following configurable rate determined by ""Duress Rate"" when in forced BLE mode:

Duress Rate: 250ms, 500ms, 1s, and 2s",,,
BLE,TR-BLE-42,"Product shall use a common, BLE advertisement packet for locating in both Cisco and Polestar BLE configurations.",,,
BLE,TR-BLE-43,Product shall use Polestar NAO Button Press packet for button press transmit in Polestar BLE configuration.,,,
BLE,TR-BLE-44,"Product shall use the common, BLE advertisement packet for button press transmit in Cisco BLE configuration.",,,
BLE,TR-BLE-5,Product shall support BLE TX maximum power level no less than 5dBm in Orion.,,,
BLE,TR-BLE-6,Product shall support profile configuration via BLE mobile app.,,,
BLE,TR-BLE-7,Product shall support BLE beaconing at configurable rates.,,,
BLE,TR-BLE-8,Product shall support hardware for BLE 5.1.,,,
BLE,TR-BLE-9,Product TX BLE performance shall be reduced by no more than 5% as a result of wearing product on skin as it would be worn by end user.,,,
Button Press,TR-Button-1,Product Shall Support Hardware Interrupt via Button,,,
Button Press,TR-Button-10,"In UHF-only mode, product shall not transmit UHF button press packet in asynchronous state.",,,
Button Press,TR-Button-11,"In UHF-only mode, product shall hold UHF button press packet in memory when in asynchronous state.",,,
Button Press,TR-Button-12,"In UHF-only mode, product shall re-start transmitting UHF button press packet if tag transitions from asynchronous state to synchronous or pseudo-paging state prior to button press timeout.",,,
Button Press,TR-Button-13,"In UHF-only mode, product shall clear and stop transmitting UHF button press packet when it receives acknowledgement from associated STAR for UHF button press packet.",,,
Button Press,TR-Button-14,"In UHF-only mode, product shall clear and stop transmitting UHF button press packet when button press timeout window expires if no acknowledgement is received from associated STAR for UHF button press packet within button press timeout window.",,,
Button Press,TR-Button-15,"In UHF-only mode, product shall not transmit button press packet over BLE at any time.",,,
Button Press,TR-Button-16,"In BLE-Only mode, product shall begin transmitting BLE button press packet immediately after legitimate button press is detected.",,,
Button Press,TR-Button-17,"In BLE-only mode, product shall clear and stop transmitting BLE button press packet when it receives acknowledgement from BLE AP for BLE button press packet.",,,
Button Press,TR-Button-18,"In BLE-only mode, product shall clear and stop transmitting BLE button press packet if no acknowledgement is received from BLE AP for BLE button press packet within button press timeout window.",,,
Button Press,TR-Button-19,"In BLE-only mode, product shall not transmit button press packet over UHF at any time.",,,
Button Press,TR-Button-2,"Product shall send a forced location packet to server with the following key value, whenever button press is released while band is in closed state.

- Key Value: 2, 3",,,
Button Press,TR-Button-20,"In Multi-mode, product shall begin transmitting UHF button press packet immediately after legitimate button press is detected if product is in synchronous mode.",,,
Button Press,TR-Button-21,"In Multi-mode, product shall transmit UHF button press packet in synchronous state.",,,
Button Press,TR-Button-22,"In Multi-mode, product shall transmit UHF button press packet in pseudo-paging state.",,,
Button Press,TR-Button-23,"In Multi-mode, product shall not transmit UHF button press packet in asynchronous state.",,,
Button Press,TR-Button-24,"In Multi-mode, product shall hold UHF button press packet in memory for duration of button press timeout window when in asynchronous state.",,,
Button Press,TR-Button-25,"In Multi-mode, product shall re-start transmitting UHF button press packet if tag transistions from asynchronous state to synchronous or pseudo-paging state prior to button press timeout, and button press acknowledgment still not received over BLE or UHF.",,,
Button Press,TR-Button-26,"In Multi-mode, product shall clear and stop transmitting UHF button press packet when it receives acknowledgement from asociated STAR for UHF button press packet.",,,
Button Press,TR-Button-27,"In Multi-mode, product shall clear and stop transmitting UHF button press packet when it receives acknowledgement from BLE AP for BLE button press packet.",,,
Button Press,TR-Button-28,"In Multi-mode, product shall clear and stop transmitting UHF button press packet if no acknowledgement is received from associated STAR for UHF button press packet and BLE AP for BLE button press packet within button press timeout window.",,,
Button Press,TR-Button-29,"In Multi-mode, product shall only transmit BLE button press packet when tag is in asynchronous state.",,,
Button Press,TR-Button-3,"Product shall send a forced location packet to server with the following key value, whenever button press is released while band is in open state.

- Key Value: 2, 3, 4",,,
Button Press,TR-Button-30,"In Multi-mode, Product shall clear and stop transmitting BLE button press packet when it receives acknowledgement from BLE AP for BLE button press packet.",,,
Button Press,TR-Button-31,"In Multi-mode, product shall clear and stop transmitting BLE button press packet when it receives acknowledgement from associated STAR for UHF button press packet.",,,
Button Press,TR-Button-32,"In Multi-mode, product shall clear and stop transmitting BLE button press packet if no acknowledgement is received from BLE AP for BLE button press packet within button press timeout window.",,,
Button Press,TR-Button-33,A button press packet transmission shall not be interrupted or overwritten by any subsequent button presses within the button press timeout window while waiting for button press packet acknowldgement.,,,
Button Press,TR-Button-34,"Product shall send a forced location packet to server with the following key value, whenever button is pressed while band is in open state.

- Key Value: 1, 2, 3, 4",,,
Button Press,TR-Button-35,"Product shall send a forced location packet to server with the following key value, whenever button is pressed while band is in closed state.

- Key Value: 1, 2, 3",,,
Button Press,TR-Button-36,"In Multi-mode, product shall clear button press packet in the event of a reset.",,,
Button Press,TR-Button-37,"In UHF-only mode, product shall clear button press packet in the event of a reset.",,,
Button Press,TR-Button-38,"In UHF-only mode, product shall begin transmitting UHF button press packet immediately after legitimate button press is detected if product is in pseudo-paging mode.",,,
Button Press,TR-Button-39,"In Multi-mode, product shall begin transmitting UHF button press packet immediately after legitimate button press is detected if product is in pseudo-paging mode.",,,
Button Press,TR-Button-4,Product shall support Debounce for Button.,,,
Button Press,TR-Button-40,"In BLE-only mode, product shall clear button press packet in the event of a reset.",,,
Button Press,TR-Button-41,"Product shall interpret any button press lasting longer than 15mS as a single button press.

NOTE: This product does not support long or double button press patterns. Product shall not wait 2 seconds to determine legitimate button press.",,,
Button Press,TR-Button-5,Product button press shall trigger a call event for assistance by the user.,,,
Button Press,TR-Button-6,"Product shall interpret any button press lasting less than 15mS as invalid.

NOTE: Button press debounce",,,
Button Press,TR-Button-7,"In UHF-only mode, product shall begin transmitting UHF button press packet immediately after legitimate button press is detected if product is in synchronous mode.",,,
Button Press,TR-Button-8,"In UHF-only mode, product shall transmit UHF button press packet in synchronous state.",,,
Button Press,TR-Button-9,"In UHF-only mode, product shall transmit UHF button press packet in pseudo-paging state.",,,
Configuration,TR-Config-1,"Product shall support configurable IR profiles as follows (values in units of seconds):

Valid Values: 1.5, 3, and 6",,,
Configuration,TR-Config-10,"Product shall support Multi-Mode configuration, enabling both UHF and BLE communications.",,,
Configuration,TR-Config-11,Product shall support dynamically switching to Orion mode based on profile configuration.,,,
Configuration,TR-Config-12,"Product shall support skipping IR slots according to a configurable skip count; to effectively reduce IR event rate according to the following formula:

IR Event Rate = IR profile x (SKIP + 1)
Where:
IR Event Rate = IR window open rate measured in seconds
IR profile = System-wide IR transmit rate. 1.5, 3, or 6 seconds
SKIP = Configurable skip count. Valid values from 0 to 20 in increments of 1.",,,
Configuration,TR-Config-13,"Product shall support the ability to enable and disable BLE in 900MHz feature.

",,,
Configuration,TR-Config-14,Product shall support the ability to enable and disable button press feature.,,,
Configuration,TR-Config-15,Product shall support the ability to enable and disable IR feature.,,,
Configuration,TR-Config-16,Product shall support the ability to enable and disable LF feature.,,,
Configuration,TR-Config-17,Product shall support dynamically switching to Pegasus mode based on profile configuration.,,,
Configuration,TR-Config-18,"Product shall support the following UHF commands from Core Server:
- Inventory Sleep
- Reset
- Set Frequency
- Set Platform (Orion or Pegasus)
- Duress Acknowledgement
- LF Calibration
- Clear LBS Status",,,
Configuration,TR-Config-19,Product shall support UHF only configuration which disables BLE radio.,,,
Configuration,TR-Config-2,"Product shall support configurable location report rates as follows, when product detects valid IR (values in units of seconds):

Valid Values: 12, 24, 48, 96",,,
Configuration,TR-Config-20,"Product shall support configurable BLE fast report rate as follows (values in units of hours):

Valid Values: None, 1, 2, 6",,,
Configuration,TR-Config-21,"Product shall support configurable BLE active report rate as follows (values in units of seconds):

Valid Values: 1, 3, 6, 9, 12, 24, 48",,,
Configuration,TR-Config-22,"Product shall support BLE ping clusters with configurable intra-cluster ping count as follows:

Valid Values: 1 through 15 in increments of 1",,,
Configuration,TR-Config-23,"Product shall support a configurable BLE button press timeout as follows (values in units of seconds):

Valid Values: 30, 60, 90, 120",,,
Configuration,TR-Config-24,Product shall support BLE only configuration which disables UHF radio..,,,
Configuration,TR-Config-25,All configurable options supported from server shall also be supported via BLE mobile app.,,,
Configuration,TR-Config-26,"Product shall support a configurable button press BLE transmit rate as follows (values in units of mS):

Valid Values: 250, 500, 1000, 2000",,,
Configuration,TR-Config-27,"Product device type shall be TBD in Pegasus platform.

NOTE: Pegasus device type field consists of device type 0x07 in the most significant 3 bits and device sub-type TBD in the least significant 5 bits.",,Dheepamari,"Need to determine tag subtype version. Need to discuss with Hilux team.
We are out of device types for Pegasus. Need to specify device type as 0x07, with a device subtype that needs to be determined."
Configuration,TR-Config-28,"Product shall support a configurable UHF button press timeout as follows (values in units of seconds):

Valid Values: 30, 60, 90, 120",,,
Configuration,TR-Config-29,Product shall support configurable IR RX profile with the following settings: 0 to 20 (inclusive and integer values),,,
Configuration,TR-Config-3,"Product shall support configurable location report rates as follows, when product does not detect valid IR (values in units of seconds):

Valid Values: 6, 12, 24, 48",,,
Configuration,TR-Config-30,"Product UHF location report rate when configured for operating mode ""UHF and BLE"", in active state, and in pseudo-paging mode shall be the same as UHF location report rate in synchronous state for that configuration.",,,
Configuration,TR-Config-31,"Product UHF location report rate when configured for operating mode ""UHF Only"", in active state, and in pseudo-paging mode shall be the same as UHF location report rate in synchronous state for that configuration.",,,
Configuration,TR-Config-4,Product shall support profile configuration via Centrak server over UHF.,,,
Configuration,TR-Config-5,Product shall support regular profile enabling tag to enter low power sleep mode when motion is not detected.,,,
Configuration,TR-Config-6,Product shall support Safety Solutions profile which prevents tag from entering low power sleep mode when motion is not detected.,,,
Configuration,TR-Config-7,"Product shall support configurable BLE transmit power as follows (values in units of dBm):  

Valid Values: -20, -18, -15, -12, -10, -9, -6, -5, -3, 0, 1, 2, 3, 4, 5",,,
Configuration,TR-Config-8,"Product shall support configurable BLE sleep report rate as follows (values in units of minutes):

Valid Values: 5, 10, 15, 30, 45, 60",,,
Configuration,TR-Config-9,"Product shall support configurable, BLE intra-cluster, ping rate as follows (values in units of mS):

Valid Values: 50, 100, 150, 200",,,
Environmental,TR-Env-1,"Product shall operate as expected, without reseting, during a 1.5m drop onto concrete.",,,
Environmental,TR-Env-10,"Product Secure Band shall withstand up to 500 wipes from a Sani-wipe cloth with no signs of deterioration (fading, cracking, or drying).",,,
Environmental,TR-Env-11,Product shall meet IP67 rating.,,,
Environmental,TR-Env-12,"Product shall operate as expected, with no signs of mechancial damage, after a 1.5m drop onto concrete.",,,
Environmental,TR-Env-13,Product Shall Comply with IP67 Ingress rating.,,,
Environmental,TR-Env-2,"Product labels shall withstand up to 30 minute submersion in water with no signs of deterioration (pealing, fading, cracking, or drying).",,,
Environmental,TR-Env-3,"Product labels shall withstand up to 500 wipes from a Sani-wipe cloth with no signs of deterioration (pealing, fading, cracking, or drying).",,,
Environmental,TR-Env-4,"Product shall operate within the following Temperature/Humidity specification: Temperature Range: 0 - 60C
Humidity Maximum: 100% condensing",,,
Environmental,TR-Env-5,"Product mechanical enclosure shall withstand up to 30 minute submersion in water with no signs of deterioration (moisture ingress, fading, cracking, or drying).",,,
Environmental,TR-Env-6,"Product mechanical enclosure shall withstand up to 500 wipes from a Sani-wipe cloth with no signs of deterioration (moisture ingress, fading, cracking, or drying).",,,
Environmental,TR-Env-7,"Product Rugged Band shall withstand up to 30 minute submersion in water with no signs of deterioration (fading, cracking, or drying).",,,
Environmental,TR-Env-8,"Product Rugged Band shall withstand up to 500 wipes from a Sani-wipe cloth with no signs of deterioration (fading, cracking, or drying).",,,
Environmental,TR-Env-9,"Product Secure Band shall withstand up to 30 minute submersion in water bath with no signs of deterioration (fading, cracking, or drying).",,,
Factory Sleep,TR-Sleep-1,Product shall remain in low power consumption sleep mode until activated for use. (Inventory/Factory Sleep),,,
Factory Sleep,TR-Sleep-10,Product shall hard-code associated STAR ID to 4095 for 24 hour location transmission while in INVENTORY SLEEP state.,,,
Factory Sleep,TR-Sleep-11,"Product shall support 4, sleep states to support manufacturing and inventory operations:
- NONE
- FACTORY SLEEP
- INVENTORY SLEEP
- ACTIVE",,,
Factory Sleep,TR-Sleep-12,Product shall transition from FACTORY SLEEP to ACTIVE due to LF ID within 2 minutes of being placed the LF field.,,,
Factory Sleep,TR-Sleep-13,Product shall transition from INVENTORY SLEEP to ACTIVE due to LF ID within 2 minutes of being placed the LF field.,,,
Factory Sleep,TR-Sleep-14,Product shall transmit location data once every 24 hours while in INVENTORY SLEEP state.,,,
Factory Sleep,TR-Sleep-15,Product sleep state shall be set to FACTORY SLEEP when FACTORY SLEEP step is executed during direct flash programming.,,,
Factory Sleep,TR-Sleep-16,Product sleep state shall be set to NONE when FACTORY SLEEP step is bypassed during direct flash programming.,,,
Factory Sleep,TR-Sleep-17,Product sleep state shall transition from ACTIVE to INVENTORY SLEEP when product receives INVENTORY SLEEP command.,,,
Factory Sleep,TR-Sleep-18,"Product sleep state shall transition from FACTORY SLEEP to ACTIVE when a closed band event occurs.

NOTE: This is when the band clasp/lock is fully closed/engaged and electrical continuity is established between both sides of the housing.",,,
Factory Sleep,TR-Sleep-19,Product sleep state shall transition from FACTORY SLEEP to ACTIVE when button is pressed and held for greater than 3 seconds.,,,
Factory Sleep,TR-Sleep-2,Product sleep state shall transition from INVENTORY SLEEP to ACTIVE when button is pressed and held for greater than 3 seconds.,,,
Factory Sleep,TR-Sleep-20,Product sleep state shall transition from FACTORY SLEEP to ACTIVE when product detects LF ID 1111.,,,
Factory Sleep,TR-Sleep-21,"Product sleep state shall transition from INVENTORY SLEEP to ACTIVE when a closed band event occurs.

NOTE: This is when the band clasp/lock is fully closed/engaged and electrical continuity is established between both sides of the housing.",,,
Factory Sleep,TR-Sleep-3,Product sleep state shall transition from NONE to FACTORY SLEEP when button is pressed and held for greater than 5 seconds.,,,
Factory Sleep,TR-Sleep-4,Product sleep state shall transition from NONE to FACTORY SLEEP when product detects LF ID 430.,,,
Factory Sleep,TR-Sleep-5,Product sleep state shall transition from NONE to FACTORY SLEEP when product receives a UHF command SET_FACTORY_SLEEP.,,,
Factory Sleep,TR-Sleep-6,Product sleep state shall transition from INVENTORY SLEEP to ACTIVE when product detects LF ID 1111.,,,
Factory Sleep,TR-Sleep-7,Product sleep state shall transition from INVENTORY SLEEP to ACTIVE when product receives WAKE FROM INVENTORY SLEEP command.,,,
Factory Sleep,TR-Sleep-8,Product 24 hour average current consumption shall be less than 8uA in FACTORY SLEEP state.,,,
Factory Sleep,TR-Sleep-9,Product 24 hour average current consumption shall be less than 8uA in INVENTORY SLEEP state.,,,
Firmware Upgrade,TR-Upgrade-1,"Product shall support BLE FW upgrade within 60s in the following configuration:
- Upgrade via Mobile App at a distance of 10ft.

NOTE: Duration specified from upgrade start to tag reset",,,
Firmware Upgrade,TR-Upgrade-10,Product shall be capable of performing a BLE upgrade while in synchronous mode.,,,
Firmware Upgrade,TR-Upgrade-11,Product shall continue to operate using original FW if BLE FW upgrade terminates prior to completion.,,,
Firmware Upgrade,TR-Upgrade-12,"Product shall continue UHF FW upgrade without reseting the packet count, after locking a new ASTAR via full paging process.",,,
Firmware Upgrade,TR-Upgrade-13,"Product shall continue UHF FW upgrade without reseting the packet count, after locking a new ASTAR via pseudo-paging process.",,,
Firmware Upgrade,TR-Upgrade-14,Product shall restart upgrade automatically upon bootup if product resets during UHF upgrade.,,,
Firmware Upgrade,TR-Upgrade-15,"Product shall support BLE FW upgrade within 60s in the following configuration:
- Upgrade via BLE AP at a distance of 30ft.

NOTE: Duration specified from upgrade start to tag reset",,,
Firmware Upgrade,TR-Upgrade-16,"Product shall support firmware upgrade within 120 minutes over UHF under the following conditions:
- Orion System
- Within 35ft of STAR
- UHF RSSI >= -80dBm
- Limited bandwidth contention (less than 30 devices using the same ASTAR)
- Remain in STAR coverage meeting all other conditions listed for entire duration of upgrade.",,,
Firmware Upgrade,TR-Upgrade-17,"Product shall support firmware upgrade within 180 minutes over UHF under the following conditions:
- Pegasus System
- Within 35ft of STAR
- UHF RSSI >= -80dBm
- Limited bandwidth contention (less than 30 devices using the same ASTAR)
- Remain in STAR coverage meeting all other conditions listed for entire duration of upgrade.",,,
Firmware Upgrade,TR-Upgrade-18,Product shall support FW upgrade via Polestar packets.,,,
Firmware Upgrade,TR-Upgrade-19,"Product shall support wireless upgrade of active firmware via BLE without hands on access.

NOTE: Forced BLE activation is required",,,
Firmware Upgrade,TR-Upgrade-2,"Product shall retain full functionality while firmware upgrade is being performed.

NOTE: FW upgrade must be a background operation with no impact to product functionality or performance.",,,
Firmware Upgrade,TR-Upgrade-20,Product shall support wireless upgrade of active firmware via UHF without hands on access.,,,
Firmware Upgrade,TR-Upgrade-21,Product shall terminate UHF upgrade process if server upgrade timer expires prior to upgrade completion.,,,
Firmware Upgrade,TR-Upgrade-3,Product shall support firmware upgrade over UHF.,,,
Firmware Upgrade,TR-Upgrade-4,Product shall support firmware upgrade over BLE via local BLE mobile app.,,,
Firmware Upgrade,TR-Upgrade-5,Product shall support firmware upgrade over BLE via CT-Bridge.,,,
Firmware Upgrade,TR-Upgrade-6,Product shall support firmware upgrade over BLE via BLE AP.,,,
Firmware Upgrade,TR-Upgrade-7,Product shall continue to operate using original FW if product resets during BLE upgrade.,,,
Firmware Upgrade,TR-Upgrade-8,Product shall continue to operate using original FW if UHF FW upgrade terminates prior to completion.,,,
Firmware Upgrade,TR-Upgrade-9,Product shall be capable of performing a BLE upgrade while in asynchronous mode.,,,
IR,TR-IR-1,Product shall support IR Sync Via UHF in Pegasus,,,
IR,TR-IR-10,Product shall be capable of decoding Orion IR IDs in the presence of ambient flourescent lighting.,,,
IR,TR-IR-11,Product shall be capable of decoding Orion IR IDs in the presence of Centrak IR source self noise.,,,
IR,TR-IR-12,Product shall be capable of decoding Orion IR IDs transmitted by Orion Monitors.,,,
IR,TR-IR-13,Product shall be capable of decoding Orion IR IDs transmitted by Orion Virtual Walls.,,,
IR,TR-IR-14,Product shall be capable of decoding Pegasus IR IDs in the presence of ambient flourescent lighting.,,,
IR,TR-IR-15,"Product shall decode Orion IR ID transmitted in IR sub-slot 1 (Profile A) according to the following criterea:

- Success Rate > 95%
- 200 IR location packets (10 minutes in constant motion; 3s IR window system)",,,
